netflix_id,title,image,imdb_rating,url,content_type,show_type,season_number,year,tv_rating,description,genre,cast,director,duration,language,updated_db,item_category
70131314,Inception,https://www.whats-on-netflix.com/wp-content/uploads/covers/inception.jpeg,8.8/10,https://www.whats-on-netflix.com/clickout?netflixid=70131314,,Movie,,2010,PG-13,"In this mind-bending sci-fi thriller, a man runs an espionage business built around entering the subconscious of his targets to mold their thoughts.","Action, Adventure, Sci-Fi, Thriller","Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",Christopher Nolan,148 min,English,"Mar 28, 2020",What’s New on Netflix
70131315,Sex and the City 2,https://www.whats-on-netflix.com/wp-content/uploads/covers/sexandthecity2.jpeg,4.5/10,https://www.whats-on-netflix.com/clickout?netflixid=70131315,,Movie,,2010,R,"Gal pals Carrie, Charlotte, Samantha and Miranda embark on a much-needed vacation to exotic Abu Dhabi.","Comedy, Drama, Romance","Sarah Jessica Parker, Kristin Davis, Cynthia Nixon, Kim Cattrall",Michael Patrick King,146 min,English,"Mar 28, 2020",What’s New on Netflix
70131764,Life as We Know It,https://www.whats-on-netflix.com/wp-content/uploads/covers/lifeasweknowit.jpeg,6.5/10,https://www.whats-on-netflix.com/clickout?netflixid=70131764,,Movie,,2010,PG-13,"Holly and Eric discover reciprocal hatred during their first date, but must put their feelings aside after becoming guardians of their friends' baby.","Comedy, Drama, Romance","Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett",Greg Berlanti,114 min,English,"Mar 28, 2020",What’s New on Netflix
70134537,Karthik Calling Karthik,https://www.whats-on-netflix.com/wp-content/uploads/covers/karthikcallingkarthik.jpeg,7.0/10,https://www.whats-on-netflix.com/clickout?netflixid=70134537,,Movie,,2010,TV-14,"Unlucky in love and bullied at work, an office drone is resigned to his dead-end life until it's transformed by mysterious calls from ... himself.","Drama, Mystery, Thriller","Siddhartha Gupta, Swapnel Desai, Farhan Akhtar, Vipin Sharma",Vijay Lalwani,135 min,Hindi,"Mar 28, 2020",What’s New on Netflix
701346,Like Water for Chocolate,https://www.whats-on-netflix.com/wp-content/uploads/covers/likewaterforchocolate.jpeg,7.1/10,https://www.whats-on-netflix.com/clickout?netflixid=701346,,Movie,,1992,R,"When Pedro marries her sister, Tita throws herself into her cooking -- and discovers she can transfer her emotions through the food she prepares.","Drama, Romance","Marco Leonardi, Lumi Cavazos, Regina Torné, Mario Iván Martínez",Alfonso Arau,105 min,Spanish,"Mar 28, 2020",What’s New on Netflix
70135899,Don't Be Afraid of the Dark,https://www.whats-on-netflix.com/wp-content/uploads/covers/dontbeafraidofthedark.jpeg,5.5/10,https://www.whats-on-netflix.com/clickout?netflixid=70135899,,Movie,,2010,R,Young Sally Hurst discovers she isn't alone in her new house: strange creatures live there -- and they might not be as friendly as Sally thinks.,"Fantasy, Horror, Thriller","Bruce Gleeson, Eddie Ritchard, Garry McDonald, Bailee Madison",Troy Nixey,99 min,English,"Mar 28, 2020",What’s New on Netflix
70136074,The Last Exorcism,https://www.whats-on-netflix.com/wp-content/uploads/covers/thelastexorcism.jpeg,5.6/10,https://www.whats-on-netflix.com/clickout?netflixid=70136074,,Movie,,2010,PG-13,"Ready to expose his miraculous deeds as mere trickery, a famed evangelist invites a documentary crew to film his final exorcism.","Horror, Mystery, Thriller","Patrick Fabian, Ashley Bell, Iris Bahr, Louis Herthum",Daniel Stamm,87 min,English,"Mar 28, 2020",What’s New on Netflix
70137790,Burlesque,https://www.whats-on-netflix.com/wp-content/uploads/covers/burlesque.jpeg,6.4/10,https://www.whats-on-netflix.com/clickout?netflixid=70137790,,Movie,,2010,PG-13,"After leaving Iowa with stars in her eyes, Ali arrives at a Los Angeles burlesque lounge with dreams of taking the stage with her soaring voice.","Drama, Music, Musical, Romance","Cher, Christina Aguilera, Eric Dane, Cam Gigandet",Steve Antin,119 min,English,"Mar 28, 2020",What’s New on Netflix
70138801,Haywire,https://www.whats-on-netflix.com/wp-content/uploads/covers/haywire.jpeg,5.8/10,https://www.whats-on-netflix.com/clickout?netflixid=70138801,,Movie,,2011,R,A last-minute mission in Dublin turns deadly for stunning secret operative Mallory Kane when she realizes she's been betrayed.,"Action, Drama, Thriller","Gina Carano, Michael Angarano, Channing Tatum, Debby Lynn Ross",Steven Soderbergh,93 min,English,"Mar 28, 2020",What’s New on Netflix
70139386,Country Strong,https://www.whats-on-netflix.com/wp-content/uploads/covers/countrystrong.jpeg,6.3/10,https://www.whats-on-netflix.com/clickout?netflixid=70139386,,Movie,,2010,PG-13,"While on tour to revive her career, country singer Kelly falls for emerging musician Beau and tries to hide their romance from her husband/manager.","Drama, Music","Gwyneth Paltrow, Tim McGraw, Garrett Hedlund, Leighton Meester",Shana Feste,117 min,English,"Mar 28, 2020",What’s New on Netflix
